Latitude	Longitude	stopID	stopName
43.561	-80.2831	0262	Woodlawn Rd. W. at Nicklin Rd.
43.5585	-80.2867	0263	Woodlawn Rd. W. at Edinburgh Rd. N.
43.5568	-80.289	0264	Woodlawn Rd. W. at Dawson Rd.
43.5542	-80.2926	0265	Woodlawn Rd. W. at Arrow Rd.
43.5517	-80.296	0266	Woodlawn Rd. W. at Silvercreek Pkwy. N.
43.5487	-80.3001	0267	Woodlawn Rd. W. at Regal Rd.
43.5464	-80.3032	0268	Woodlawn Rd. W. at Royal Rd.
43.5435	-80.3059	0269	Imperial Rd. N. at Woodlawn Rd. W.
43.5409	-80.3015	0270	Massey Rd. at Imperial Rd. N.
43.5427	-80.2983	0271	Royal Rd. at Massey Rd.
43.54	-80.2944	0272	Royal Rd. at ARC Industries
43.5366	-80.2964	0273	Imperial Rd. N. at Speedvale Ave. W.
43.5341	-80.2947	0274	Imperial Rd. N. at Thornhill Dr.
43.5308	-80.2942	0275	Imperial Rd. N. at Kipling Ave.
43.5288	-80.2924	0276	Imperial Rd. N. at Willow Rd. 
43.5277	-80.2965	0277	Willow Rd. at Flaherty Dr. 
43.5225	-80.2914	0278	Elmira Rd. at West End Community Centre
43.5219	-80.2899	0279	Elmira Rd.at Paisley Rd. 
43.5187	-80.282	0280	Elmira Rd. at Freshmeadow Way
43.5165	-80.2791	0281	Elmira Rd. at Rochelle Dr.
43.5139	-80.2753	0282	Fife Rd. at Elmira Rd.
43.5154	-80.2732	0283	Fife Rd. at Gateway Dr.
43.5178	-80.2701	0284	26 Fife Rd. at Coop
43.5229	-80.2672	0285	Wellington St. W. at Wastewater Treatment Plant
43.5162	-80.2386	0286	Stone Rd. W. at Scottsdale Dr. 
43.5176	-80.2366	0287	Stone Rd. W. at McDonald's
43.5195	-80.2342	0288	Stone Rd. W. at Edinburgh Rd. S.
43.5217	-80.2313	0289	Stone Rd. W. opposite Target
43.5247	-80.2272	0290	95 Stone Rd. W.
43.531	-80.2238	0291	University Centre
43.531	-80.2307	0292	Gordon St. at Vet College
43.5328	-80.2333	0293	Gordon St. at Macdonald Stewart Art Centre
43.537	-80.2392	0294	Gordon St. at Dormie Lane
43.5381	-80.2409	0295	Gordon St. at Water St.
43.5414	-80.2441	0296	Wellington St. at Wellington Plaza 
43.5434	-80.2452	0297	Wyndham St. at Fountain St.
43.5458	-80.2455	0298	Guelph Central Station
43.5458	-80.2455	0300	Guelph Central Station
43.5459	-80.249	0301	Wyndham St. N. at PharmaSave
43.5482	-80.2513	0302	Woolwich St. at Cardigan St.
43.5474	-80.2549	0303	Suffolk St. W. at Norfolk St. 
43.5464	-80.2568	0304	Suffolk St. W. at Dublin St. N.
43.5455	-80.2585	0305	Suffolk St. W. at Glasgow St.
43.5464	-80.2617	0306	Yorkshire St. N. at London Rd. W.
43.5482	-80.267	0307	Westmount Rd. at Lourdes 
43.5501	-80.2696	0308	Westmount Rd. at Division St.
43.5501	-80.2696	0309	St. Joseph's Health Centre
43.5534	-80.2742	0310	Westmount Rd. at Speedvale Ave. W.
43.5561	-80.273	0311	Kathleen St. at June Ave.
43.5572	-80.2767	0312	Bailey Ave. at Nicklin Rd.
43.5601	-80.2823	0313	Nicklin Rd. at Woodlawn Rd. W.
43.5646	-80.2777	0314	Woodlawn Rd. W. at Woolwich St.
43.5663	-80.2756	0315	21 Woodlawn Rd. E. at Apartments
43.5693	-80.2714	0316	Woodlawn Rd. E. opposite Seniors Centre
43.572	-80.2677	0317	Woodlawn Rd. E. at Fairway Lane
43.5744	-80.2644	0318	Woodlawn Rd. E. at Golfview Dr.
43.5766	-80.2631	0319	Inverness Dr. at Glenbrook Dr.
43.5792	-80.2667	0320	Inverness Dr. at Simmonds Dr.
43.5805	-80.264	0321	Victoria Rd. N. at Trillium Waldorf
43.5779	-80.2604	0322	Victoria Rd. N. at Woodlawn Rd. E.
43.5742	-80.2552	0323	Victoria Rd. N . at Delta St. 
43.5707	-80.2503	0324	Victoria Rd. N. at Speedvale Ave. E.
43.5692	-80.2483	0325	Victoria Rd. N. at Eramosa Rd.
43.5667	-80.2447	0326	Victoria Rd. N. at St. Paul's Church
43.5653	-80.2413	0327	Eastview Rd. at Glenburnie Dr. 
43.5674	-80.2385	0328	Eastview Rd. at Mountford Dr.
43.5691	-80.2361	0329	Eastview Rd. at Auden Rd.
43.5726	-80.2313	0330	Eastview Rd. at Summit Ridge Dr.
43.5733	-80.2178	0331	Watson Pkwy. N. at Grange Rd.
43.5706	-80.214	0332	Watson Pkwy. N. at Fleming Rd.
43.5666	-80.2118	0333	Watson Pkwy. N. at Library
43.5614	-80.211	0334	York Rd. At Watson Pkwy. N.
43.5583	-80.2152	0335	York Rd. at Yorkhaven Pl.
43.5571	-80.217	0336	York Rd. at Royal City Jaycees Park
43.5549	-80.22	0337	York Rd. at Beaumont Cres.
43.5516	-80.2236	0338	Victoria Rd. at York Rd. 
43.5394	-80.2079	0339	Stone Rd. E. at Victoria Rd. S.
43.5337	-80.2155	0340	Stone Rd. E. at Arbour Medical Centre
43.5291	-80.2238	0341	University Centre
43.5314	-80.2314	0342	Gordon St. at Vet College
43.5328	-80.2334	0343	Gordon St. at Macdonald Stewart Art Centre
43.537	-80.2339	0344	Gordon St. at Dormie Lane
43.5381	-80.2409	0345	Gordon St. at Water St.
